DEPT,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,GR,LSPD,LTEN,RILD,RILM,RLL3,RxoRt,SP,MCAL,MI,MN,ITT,DT,SPOR,DCAL,RHOB,RHOC,DPOR
637.5,0,0,272.2033,17.1495,26.1458,26.1458,28.875,121.7874,-102.44,843.8914,3.6737,3.4053,4.7705,-9.8089,-231.8514,8.0612,2.8791,2.1649,0,139.2806,64.8377,8.3409,2.2219,0.2256,28.5421
638,0,0,273.4799,18.6678,27.6246,27.6246,30.2114,115.2805,-102.44,857.0856,3.6566,3.3917,4.6724,-9.6986,-231.9401,8.0436,2.8678,2.0998,0,139.4413,64.9514,8.4625,2.2331,0.2095,27.8917
638.5,0,0,274.3484,23.4595,31.433,31.433,33.9817,111.4608,-102.44,858.1655,3.645,3.3771,4.6133,-9.4869,-231.9796,8.062,2.9057,2.0317,0,139.7676,65.1822,8.562,2.2315,0.1932,27.9816
639,0,0,274.7987,28.9929,35.6745,35.6745,38.0586,112.3846,-102.32,843.5453,3.639,3.364,4.5925,-9.3213,-231.9113,8.0825,2.9196,1.9911,1,140.0779,65.4016,8.6076,2.2235,0.1883,28.4509
639.5,0,0,275.2321,33.9997,39.151,39.151,40.4599,114.4695,-102.32,841.3234,3.6333,3.3542,4.5899,-9.3114,-231.724,8.0906,2.8999,1.9393,1,140.2631,65.5326,8.7153,2.2174,0.1969,28.8086
640,0,0,275.9687,32.1014,37.9241,37.9241,39.6709,112.5407,-102.32,854.0651,3.6236,3.3485,4.6016,-9.484,-231.4565,8.0941,2.8826,1.9378,0,140.3716,65.6093,8.8479,2.215,0.209,28.9476
640.5,0,0,276.9036,26.2264,33.3582,33.3582,35.9645,106.0929,-102.57,853.4786,3.6114,3.347,4.6323,-9.7736,-231.1773,8.1017,2.8386,2.0069,0,140.4834,65.6884,8.9098,2.2161,0.2153,28.881
641,0,0,277.7401,23.6125,31.5879,31.5879,34.1437,102.922,-102.57,854.3685,3.6005,3.3491,4.6696,-10.0748,-230.955,8.1061,2.7392,1.9897,0,140.5976,65.7692,8.8625,2.2218,0.214,28.5495
641.5,0,0,278.2171,24.8907,32.4674,32.4674,35.0597,102.7719,-102.57,857.9489,3.5943,3.3549,4.6916,-10.2959,-230.841,8.0899,2.6819,1.8323,0,140.6846,65.8307,8.8501,2.2298,0.2079,28.0798
642,0,0,278.1189,24.0016,31.9286,31.9286,34.4999,101.2066,-102.2,842.4191,3.5956,3.3644,4.6974,-10.3877,-230.8634,8.0529,2.7708,1.731,0,140.7466,65.8745,8.8801,2.2344,0.2017,27.8113
642.5,0,0,277.3313,20.8034,29.4467,29.4467,31.9473,100.4492,-102.2,833.9492,3.6058,3.3774,4.6969,-10.3658,-231.0255,8.0151,2.9015,1.7689,0,140.7702,65.8913,8.7746,2.2324,0.2011,27.9318
643,0,0,275.9686,18.2749,27.2643,27.2643,29.8809,107.6885,-102.2,851.1306,3.6236,3.3932,4.6902,-10.3155,-231.2996,7.9822,2.9349,1.8299,0,140.6842,65.8304,8.7341,2.2268,0.208,28.2593
643.5,0,0,274.3519,17.9369,26.9378,26.9378,29.5844,119.0219,-102.2,869.257,3.645,3.4098,4.7142,-10.3382,-231.6255,7.9568,2.9513,1.8622,0,140.4134,65.6389,8.752,2.2238,0.2162,28.432
644,0,0,272.8848,17.9894,26.9896,26.9896,29.6313,122.5744,-101.95,873.6335,3.6646,3.4248,4.7831,-10.4624,-231.9222,7.9485,3.0932,1.8932,0,139.9786,65.3314,8.6948,2.227,0.2164,28.2457
644.5,0,0,271.9237,18.0344,27.0337,27.0337,29.6712,118.0392,-101.95,868.5459,3.6775,3.4358,4.8766,-10.6027,-232.1148,7.9545,3.2838,1.9787,0,139.5444,65.0243,8.7117,2.2339,0.2045,27.843
645,0,0,271.4741,20.0083,28.7513,28.7513,31.2707,111.6838,-101.95,855.4462,3.6836,3.4422,4.9178,-10.6101,-232.1617,7.9702,3.2731,2.0365,0,139.337,64.8777,8.7491,2.2371,0.1847,27.6557
645.5,0,1,271.0773,21.4998,29.9999,29.9999,32.4999,104.6126,-102.32,843.9678,3.689,3.4457,4.8217,-10.4055,-232.0667,7.9989,3.041,1.9909,0,139.469,64.971,8.7867,2.2294,0.1644,28.1073
646,0,0,270.2669,19.9576,28.709,28.709,31.2301,99.5945,-102.32,840.4304,3.7,3.4494,4.7323,-10.0855,-231.8695,8.0339,2.7366,1.9138,1,139.8509,65.2411,8.9123,2.2104,0.1498,29.2167
