DEPT,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,GR,LSPD,LTEN,RILD,RILM,RLL3,RxoRt,SP,MCAL,MI,MN,ITT,DT,SPOR,DCAL,RHOB,RHOC,DPOR
195,0,0,0,26.47,33.6237,33.6237,36.2265,74.6573,-91.5,605.4985,100000,102.4693,0.4966,477.3602,-199.26,5.371,0.8857,0.1488,0,271.2051,158.1366,3.2576,2.1956,0.0015,30.0829
195.5,0,0,0,22.3399,30.5414,30.5414,33.0535,75.4569,-91.5,604.8134,100000,104.1353,0.4962,477.3797,-198.3053,5.3718,0.8884,0.1548,0,268.742,156.3946,3.2574,2.199,0.004,29.8808
196,0,0,0,21.4375,29.9558,29.9558,32.4553,75.7853,-91.5,604.4182,100000,101.5104,0.4959,477.3945,-197.1277,5.3776,0.8905,0.1598,0,266.9755,155.1454,3.2572,2.2002,0.003,29.8121
196.5,0,0,0,24.5568,32.2824,32.2824,34.8682,72.0167,-91.62,603.3654,100000,95.1067,0.496,477.4019,-195.991,5.3775,0.8907,0.1628,0,267.1826,155.2918,3.2573,2.2002,0.0014,29.8108
197,0,0,0,27.8221,34.8708,34.8708,37.3877,66.1658,-91.62,602.8718,100000,86.3613,0.4961,477.4013,-195.3299,5.3726,0.8886,0.1649,0,269.0547,156.6158,3.2574,2.199,0.0003,29.8815
197.5,0,0,0,27.562,34.6744,34.6744,37.2139,62.787,-91.62,603.9701,100000,76.9688,0.4959,477.3895,-195.5876,5.3719,0.8876,0.1652,0,270.962,157.9647,3.2574,2.1977,-0.0009,29.9568
198,0,0,0,25.5841,32.8592,32.8592,35.4617,65.5053,-91.62,605.9269,100000,68.5499,0.4959,477.3626,-196.9801,5.3743,0.8896,0.1655,1,271.7734,158.5385,3.2576,2.1993,-0.003,29.8665
198.5,0,0,0,23.9313,31.8742,31.8742,34.4431,72.8609,-91.62,606.1323,100000,62.3431,0.4971,477.3268,-199.3319,5.3747,0.8919,0.1694,1,271.6382,158.4429,3.2581,2.2036,-0.0064,29.6112
199,0,0,0,25.8445,33.0316,33.0316,35.6368,76.6498,-91.62,603.2076,100000,59.0616,0.4984,477.3016,-202.1051,5.3764,0.8932,0.1749,0,271.372,158.2546,3.2581,2.2062,-0.0116,29.4624
199.5,0,0,0,28.4943,35.3438,35.3438,37.7903,74.4644,-91.5,601.1932,100000,59.0394,0.498,477.3043,-204.6074,5.3799,0.8943,0.1784,0,271.6115,158.424,3.2575,2.2032,-0.0189,29.6382
200,0,0,0,29.9518,36.286,36.286,38.5298,71.2652,-91.5,601.6428,100000,62.4932,0.4969,477.3348,-206.2511,5.3774,0.8955,0.1803,0,272.3984,158.9805,3.2567,2.1963,-0.0271,30.0419
200.5,0,0,0,31.2638,37.2125,37.2125,39.1927,71.9805,-91.5,604.9121,100000,69.6732,0.4962,477.3806,-206.7395,5.371,0.8954,0.1808,0,273.3261,159.6365,3.2567,2.1897,-0.0341,30.4262
201,0,0,0,36.6176,40.7572,40.7572,41.4898,77.5484,-91.74,607.916,100000,80.7603,0.4958,477.4298,-206.132,5.3717,0.8945,0.1796,0,273.7444,159.9324,3.2571,2.1855,-0.0389,30.6747
201.5,0,0,0,43.9696,45.5169,45.5169,44.786,82.4254,-91.74,610.5649,100000,95.346,0.4951,477.4749,-204.791,5.3773,0.8935,0.1767,2,272.8502,159.3,3.2573,2.1829,-0.0417,30.8256
202,0,0,0,45.9955,46.8987,46.8987,45.8104,81.4207,-91.74,607.8289,100000,111.4731,0.4941,477.5052,-203.2295,5.3774,0.8925,0.1725,2,270.2609,157.4688,3.2573,2.1811,-0.0437,30.9327
202.5,0,0,0,40.166,43.0066,43.0066,43.0017,78.9139,-91.74,604.309,100000,125.1911,0.4939,477.5094,-201.9106,5.3738,0.8917,0.1683,0,266.6701,154.9294,3.2567,2.1792,-0.0458,31.0381
203,0,0,0,30.1594,36.4188,36.4188,38.6283,78.9066,-91.62,606.0965,100000,132.455,0.4947,477.4847,-201.0899,5.3749,0.8904,0.1651,0,263.4749,152.6696,3.2567,2.1757,-0.0491,31.2474
203.5,0,0,0,25.3291,32.7092,32.7092,35.3085,79.3951,-91.62,610.0324,100000,132.195,0.4958,477.4413,-200.7786,5.3786,0.8894,0.1631,0,261.6479,151.3775,3.2569,2.1684,-0.0543,31.6702
204,0,0,0,24.5598,32.2841,32.2841,34.8699,79.0799,-91.62,609.4156,100000,126.3161,0.4963,477.3932,-200.8245,5.3811,0.8891,0.1622,0,261.1565,151.0301,3.2563,2.1589,-0.0609,32.2291
204.5,0,0,0,24.3665,32.1714,32.1714,34.7528,76.2602,-91.5,608.114,100000,117.402,0.4967,477.3484,-201.0392,5.3814,0.889,0.1634,0,261.3695,151.1807,3.2557,2.1524,-0.0663,32.6086
205,0,0,0,24.9727,32.5121,32.5121,35.1058,73.4335,-91.5,605.8588,100000,107.7338,0.4974,477.3092,-201.2981,5.3786,0.8893,0.1657,0,261.7375,151.4409,3.2559,2.1544,-0.068,32.4941
205.5,0,0,0,28.9802,35.6662,35.6662,38.052,74.4553,-91.5,604.1445,100000,99.3036,0.4977,477.2746,-201.5812,5.3775,0.8905,0.1675,1,262.0624,151.6707,3.2563,2.1644,-0.0659,31.9058
206,0,0,0,34.1252,39.227,39.227,40.5082,78.014,-91.74,603.8018,100000,93.4118,0.498,477.2414,-201.953,5.38,0.891,0.1686,1,262.3993,151.909,3.2562,2.1755,-0.0628,31.2558
206.5,0,0,0,31.8658,37.7319,37.7319,39.5438,81.4469,-91.74,606.4326,100000,90.2964,0.4985,477.2051,-202.5034,5.3811,0.8904,0.1688,0,262.9354,152.2881,3.256,2.1798,-0.062,31.0058
207,0,0,0,26.199,33.3311,33.3311,35.9375,82.053,-91.74,609.2439,100000,89.0831,0.499,477.161,-203.281,5.3798,0.8895,0.1687,0,263.8369,152.9257,3.256,2.1754,-0.0655,31.2618
207.5,0,0,0,22.3402,30.5416,30.5416,33.0537,78.5616,-91.62,609.7736,100000,88.0675,0.4995,477.103,-204.2551,5.3785,0.8883,0.167,0,264.9413,153.7068,3.2559,2.1673,-0.0724,31.7387
208,0,0,0,22.8595,30.8916,30.8916,33.4164,75.2986,-91.62,607.1298,100000,85.5031,0.5002,477.0247,-205.3151,5.3787,0.8885,0.163,0,265.6978,154.2417,3.2558,2.1622,-0.0802,32.0377
208.5,0,0,0,25.5843,32.8593,32.8593,35.4618,76.0634,-91.62,604.8751,100000,80.8141,0.5019,476.927,-206.2954,5.3802,0.8886,0.1597,0,265.7159,154.2545,3.2559,2.1638,-0.0854,31.9441
209,0,0,0,25.9767,33.1328,33.1328,35.7389,78.0439,-91.5,604.9764,100000,74.9594,0.5039,476.8217,-207.0108,5.3824,0.886,0.1574,0,265.2449,153.9214,3.2558,2.17,-0.0871,31.5805
209.5,0,0,0,24.2213,32.0811,32.0811,34.6589,79.1257,-91.5,609.2271,100000,69.4303,0.5052,476.7244,-207.2999,5.3809,0.8837,0.1563,1,264.8726,153.6581,3.2556,2.1749,-0.0871,31.2898
210,0,0,0,26.1152,33.2518,33.2518,35.8584,80.4422,-91.5,613.8798,100000,65.2102,0.5059,476.6412,-207.0721,5.3758,0.884,0.157,0,264.945,153.7093,3.2554,2.1754,-0.087,31.2612
210.5,0,0,0,30.6956,36.7772,36.7772,38.8879,81.9488,-91.5,615.1937,100000,62.5447,0.5068,476.567,-206.3416,5.3728,0.8851,0.1573,0,265.3801,154.017,3.2552,2.1747,-0.0853,31.3052
211,0,0,0,33.7198,38.9817,-999.25,40.3525,82.0188,-91.5,611.0126,100000,61.1854,0.5076,476.4903,-205.2262,5.3724,0.8853,0.1558,0,265.8456,154.3462,3.2549,2.1781,-0.0796,31.1069
211.5,0,0,0,32.7941,38.4109,38.4109,39.9876,79.4237,-91.5,605.5406,100000,60.6932,0.5083,476.3981,-203.91,5.3737,0.8838,0.1529,0,266.0994,154.5257,3.2547,2.1859,-0.0706,30.6478
212,0,0,0,32.061,37.8921,37.8921,39.6498,77.1779,-91.87,604.4922,100000,60.6591,0.5098,476.2838,-202.5867,5.3753,0.8802,0.1472,0,266.3062,154.672,3.2543,2.1933,-0.0622,30.2171
212.5,0,0,0,32.7831,38.4038,38.4038,39.983,79.6622,-91.87,608.9999,100000,60.8091,0.5125,476.1555,-201.4117,5.3765,0.8781,0.1397,0,267.1137,155.2431,3.2543,2.1967,-0.0577,30.0177
213,0,0,0,32.4203,38.1601,38.1601,39.8252,85.1799,-91.87,613.5258,100000,60.9697,0.5144,476.0303,-200.4807,5.3782,0.8819,0.1357,1,269.2556,156.7578,3.2544,2.1974,-0.0582,29.9747
213.5,0,0,0,30.567,36.6883,36.6883,38.8243,88.2777,-91.87,612.7022,100000,60.936,0.5152,475.9184,-199.8352,5.3809,0.8881,0.1356,1,272.7464,159.2266,3.2541,2.1975,-0.0639,29.9692
214,0,0,0,29.4492,35.9677,35.9677,38.2884,87.536,-91.87,607.9822,100000,60.4282,0.5165,475.8172,-199.465,5.3822,0.8888,0.1343,0,276.5221,161.8968,3.2539,2.1961,-0.0751,30.0538
214.5,0,0,0,30.6256,36.7284,36.7284,38.8531,87.6698,-91.87,607.944,100000,59.2441,0.518,475.7213,-199.2907,5.3784,0.8849,0.1304,0,279.1679,163.768,3.2536,2.1912,-0.0904,30.339
215,0,0,0,31.9652,37.8146,37.8146,39.5986,89.5436,-91.5,610.9139,100000,57.4632,0.5193,475.6286,-199.1366,5.3739,0.8805,0.1268,0,279.8992,164.2851,3.2536,2.1838,-0.1068,30.7715
215.5,0,0,0,32.3458,38.1072,38.1072,39.7908,89.1763,-91.5,613.5971,100000,55.4238,0.5202,475.5345,-198.7431,5.3724,0.8779,0.1251,0,278.7228,163.4532,3.2543,2.1777,-0.122,31.1259
216,0,0,0,32.1524,37.9637,37.9637,39.6969,86.5223,-91.5,614.9683,100000,53.4704,0.521,475.4308,-197.8576,5.3732,0.8752,0.1217,0,275.9549,161.4957,3.2959,2.1746,-0.1396,31.3104
216.5,0,0,0,32.4387,38.173,38.173,39.8336,83.5924,-86.95,612.9245,100000,51.7176,0.523,475.3147,-196.3802,5.3753,0.8704,0.1146,1,271.6971,158.4845,3.9933,2.1673,-0.1718,31.7348
217,0,0,0,34.3642,39.372,39.372,40.6002,82.3587,-86.95,608.5658,100000,50.0246,0.5257,475.1954,-194.4695,5.3763,0.8655,0.1062,1,265.587,154.1634,6.2907,2.1419,-0.2315,33.2219
217.5,0,0,0,37.5309,41.3281,41.3281,41.8655,80.6448,-86.95,606.323,100000,48.1975,0.5266,475.0808,-192.4942,5.3757,0.8626,0.0989,0,257.1077,148.1667,7.8365,2.0901,-0.3183,36.253
218,0,1,0,37.4614,41.2844,41.2844,41.8366,76.7701,-78.58,609.2239,100000,46.3052,0.5269,474.9666,-190.834,5.3735,0.8621,0.0938,0,246.269,140.5014,8.0456,2.0225,-0.4112,40.2047
218.5,0,0,0.4266,31.8794,37.7433,37.7433,39.5514,74.6099,-78.58,613.7498,2344.1401,44.826,0.5293,328.1581,-189.6587,5.3712,0.8625,0.0901,0,233.9777,131.8088,8.051,1.9618,-0.4826,43.7543
219,0,0,43.5332,27.1646,34.3483,34.3483,36.9172,75.4896,-78.58,615.0786,22.9709,44.4939,0.5329,147.3011,-188.8632,5.3693,0.8613,0.0857,0,221.8505,123.2323,8.0512,1.9196,-0.5218,46.2197
219.5,0,0,64.8327,25.8277,33.0196,33.0196,35.6246,76.9988,-70.71,614.101,15.4243,46.0477,0.5341,131.6625,-188.2131,5.3697,0.8572,0.0773,0,211.6521,116.0199,8.0511,1.8906,-0.5357,47.9202
220,0,0,98.6383,26.6155,33.7937,33.7937,36.392,77.8163,-70.71,610.1088,10.1381,50.1303,0.5298,114.4377,-187.5856,5.3748,0.8516,0.0675,0,204.5005,110.9622,8.0513,1.8663,-0.5267,49.3364
220.5,0,0,230.6946,29.7256,36.1427,36.1427,38.4221,77.2681,-70.71,606.2827,4.3347,56.8072,0.517,76.7822,-187.1223,5.3793,0.8478,0.0668,0,200.2885,107.9834,8.0519,1.8527,-0.4777,50.1365
221,0,0,595.8791,31.3589,37.2932,37.2932,39.2481,77.6324,-63.09,610.3071,1.6782,63.8899,0.5039,26.557,-187.1892,5.3799,0.8561,0.1063,1,198.0251,106.3827,8.0538,1.8694,-0.3678,49.1595
221.5,0,0,1201.4882,28.8085,35.5537,35.5537,37.9618,79.7501,-63.09,620.4681,0.8323,64.5378,0.5861,-23.5468,-188.1826,5.3798,0.8943,0.2639,1,196.8245,105.5336,8.1001,1.92,-0.2144,46.2008
222,0,0,1764.2186,26.2298,33.3616,33.3616,35.9679,83.9562,-63.09,626.4578,0.5668,53.6927,1.3477,-64.7293,-190.3096,5.3811,0.9471,0.5706,0,196.2936,105.1581,8.4847,1.9824,-0.0684,42.5525
222.5,0,0,2025.6888,24.7627,32.3974,32.3974,34.9873,90.2435,-59.52,623.5526,0.4937,38.7223,3.5262,-94.1327,-193.4755,5.3796,0.9762,0.8579,0,195.9315,104.9021,9.5478,2.0358,0.0315,39.4254
223,0,0,2104.1423,25.4178,32.7601,32.7601,35.3605,94.3025,-59.52,617.4028,0.4753,27.7584,7.7434,-115.0103,-197.3274,5.3745,0.9863,0.9876,0,194.56,103.9321,10.6164,2.0724,0.0775,37.2862
223.5,0,0,2132.7646,27.3936,34.5409,34.5409,37.0935,93.1763,-59.52,612.4368,0.4689,21.8919,13.986,-129.7086,-201.4064,5.3719,0.9911,1.0255,0,190.6985,101.2012,11.1647,2.0899,0.0821,36.2644
224,0,0,1871.5806,30.976,36.9816,36.9816,39.0324,88.296,-59.64,605.696,0.5343,20.0551,18.8669,-133.8029,-205.3082,5.3909,0.9906,1.0392,0,183.658,96.2221,11.3826,2.0865,0.0645,36.4607
224.5,0,0,1172.1021,34.6547,39.5488,39.5488,40.7124,83.9866,-59.64,604.131,0.8532,22.1789,20.8199,-120.5267,-208.7767,5.5482,1.0174,1.0538,0,174.2726,89.5846,11.4347,2.0658,0.0418,37.67
225,0,0,497.9433,36.8451,40.8989,40.8989,41.5825,83.5411,-59.64,607.19,2.0083,31.315,20.672,-89.0628,-211.7144,6.1743,1.3152,1.2053,0,164.4291,82.6232,11.4402,2.0407,0.026,39.1428
225.5,0,0,166.1094,34.0558,39.1849,39.1849,40.4815,87.2795,-59.64,607.4814,6.0201,65.9086,19.6178,-46.4712,-214.1396,7.5239,2.3608,1.7841,0,155.9584,76.6325,11.4464,2.0232,0.0226,40.1621
226,0,0,74.1754,31.5665,37.4732,37.4732,39.3705,91.7574,-59.64,603.7683,13.4816,888.8488,19.1591,-14.7551,-216.1269,9.1127,3.8513,2.6925,0,149.9582,72.3891,11.4549,-999.25,0.0306,40.6496
226.5,0,0,59.8949,30.8502,36.8878,36.8878,38.9664,93.6432,-59.64,601,16.6959,100000,19.5245,-6.2483,-217.7619,10.1535,4.6369,3.374,0,146.6271,70.0333,11.4639,-2.0093,0.0462,40.974
227,0,0,52.6786,30.7807,36.8375,36.8375,38.9308,93.4077,-59.64,600.4289,18.983,100000,19.9705,-1.1295,-219.1259,10.5789,4.3801,3.4877,1,145.383,69.1535,11.5155,2.001,0.0641,41.4612
227.5,0,0,35.1924,32.5979,38.2819,38.2819,39.9042,88.5688,-59.64,603.196,28.4152,-999.25,19.6174,14.8242,-220.3026,10.7322,3.8094,3.1482,0,145.2955,69.0916,11.6477,1.9885,0.0784,42.1925
228,0,0,16.8075,-999.25,40.384,40.384,41.2472,82.5125,-59.27,606.2452,59.4972,74.3909,18.9465,43.7952,-221.383,10.7525,3.6426,2.9014,0,145.5495,69.2712,11.6867,1.975,0.0863,42.9804
228.5,0,0,8.0209,40.6642,43.3295,43.3295,43.2255,83.3009,-59.27,606.3254,124.6745,44.3844,18.838,72.1818,-222.4541,10.5309,3.8678,2.9723,0,145.6397,69.335,11.4345,1.9675,0.0889,43.4227
229,0,0,5.7667,46.3906,47.172,47.172,46.0164,91.0937,-59.27,602.8217,173.4101,34.894,19.2663,83.5191,-223.5783,9.9133,4.231,3.2471,0,145.3873,69.1565,10.7719,1.9718,0.0876,43.1715
229.5,0,0,5.1644,47.0378,47.6224,47.6224,46.3584,102.6943,-59.27,600.4498,193.6347,31.7442,21.1743,85.427,-224.7782,9.0581,4.8388,3.7843,0,144.8976,68.8102,9.7494,1.9878,0.0807,42.2367
230,0,0,5.2557,42.2465,44.3665,44.3665,43.9558,108.4377,-59.27,603.1419,190.2682,31.369,24.32,82.3086,-226.0373,8.3854,5.4576,4.4604,0,144.4161,68.4696,8.6303,2.009,0.0681,40.9921
230.5,0,0,5.8804,37.7424,41.461,41.461,41.9538,104.1471,-59.27,607.1018,170.0556,32.3176,25.6697,76.3156,-227.314,8.075,5.6428,4.7526,0,144.1436,68.277,8.1182,2.0273,0.0542,39.925
231,0,0,6.5755,35.1917,39.8769,39.8769,40.9213,98.6017,-59.27,609.4292,152.0788,33.7995,25.2304,71.4746,-228.5631,7.9873,5.4038,4.5805,0,144.1237,68.2629,8.0578,2.0374,0.0436,39.333
231.5,0,0,6.8805,30.9632,36.9719,36.9719,39.0256,97.2086,-59.27,609.4781,145.3391,35.387,24.1204,69.9791,-229.7574,7.9715,5.1218,4.3789,0,144.2609,68.3599,8.0562,2.0399,0.0356,39.1858
232,0,0,6.5643,25.8236,33.0166,33.0166,35.6216,100.2902,-59.4,606.759,152.3381,36.9207,23.1605,72.1252,-230.8979,7.9752,5.1133,4.4366,0,144.4232,68.4747,8.0609,2.0384,0.0275,39.2731
232.5,0,0,5.9904,22.1901,30.4469,30.4469,32.9561,109.0369,-58.78,604.1193,166.934,38.3308,23.2691,75.557,-232.004,7.9802,5.5986,4.8844,0,144.5194,68.5427,8.0703,2.0364,0.0193,39.3915
233,0,0,5.8942,21.8387,30.2252,30.2252,32.7289,116.2475,-58.78,605.9145,169.6594,39.4769,25.1643,75.7093,-233.0883,7.9764,6.027,5.3941,0,144.5109,68.5367,8.0739,2.0363,0.0141,39.3985
233.5,0,0,6.6353,24.0033,31.9299,31.9299,34.5013,113.151,-58.78,609.4458,150.7096,40.1532,25.412,70.7069,-234.1401,7.9687,5.9253,5.5037,0,144.4044,68.4614,8.0743,2.039,0.0139,39.2427
234,0,0,8.0424,26.4894,33.6463,33.6463,36.2486,105.7942,-58.66,610.6841,124.3414,40.2586,24.5839,63.1545,-235.135,7.9647,5.9666,5.5959,1,144.25,68.3522,8.0745,2.0426,0.0162,39.0269
234.5,0,0,9.5661,26.7445,33.94,33.94,36.5328,104.6994,-58.78,610.3396,104.5353,39.9067,24.5447,56.5847,-236.0611,7.9627,6.2993,5.9004,0,144.1339,68.2701,8.0745,2.0441,0.0159,38.9435
235,0,0,10.5135,25.8209,33.0147,33.0147,35.6197,109.2223,-58.78,608.3677,95.1155,39.343,24.5597,53.2061,-236.9333,7.9558,6.4227,6.0383,0,144.1472,68.2795,8.0744,2.0429,0.012,39.0145
235.5,0,0,10.7427,23.8897,31.8405,31.8405,34.4079,112.3684,-58.78,608.7112,93.0861,38.774,24.1204,52.7103,-237.7793,7.9403,6.3279,5.9176,0,144.3291,68.4082,8.0746,2.0436,0.0085,38.9694
236,0,0,10.7682,23.6215,31.5967,31.5967,34.153,110.5259,-58.78,612.7141,92.8662,38.2721,23.8848,52.9527,-238.6109,7.9209,6.4348,5.9822,0,144.6276,68.6193,8.0747,2.0503,0.0093,38.5781
236.5,0,0,11.0181,25.0188,32.5373,32.5373,35.1318,109.2454,-59.4,613.6396,90.7597,37.8022,23.6144,52.3389,-239.4108,7.9031,7.0157,6.4647,0,144.9308,68.8337,8.0743,2.0601,0.0137,38.0037
237,0,0,11.5854,24.3986,32.1905,32.1905,34.7727,113.0444,-59.4,612.98,86.3157,37.3069,23.7832,50.6297,-240.1427,7.8861,7.4884,6.8713,0,145.1491,68.988,8.0742,2.0671,0.0185,37.5977
237.5,0,0,12.3578,20.7709,29.4182,29.4182,31.9191,115.9141,-59.4,610.3279,80.9203,36.78,23.6576,48.3782,-240.7727,7.8643,7.1951,6.588,0,145.2704,69.0738,8.0745,2.069,0.0223,37.4833
238,0,0,13.0323,17.6117,26.611,26.611,29.2901,116.6721,-59.4,608.2394,76.7324,36.2696,23.0501,46.5612,-241.282,7.839,6.5835,5.9928,0,145.3441,69.1259,8.0747,2.0681,0.0242,37.538
238.5,0,0,13.3919,16.3009,25.3562,25.3562,28.1792,119.6217,-59.52,607.6036,74.6721,35.8245,22.9595,45.6574,-241.665,7.8227,6.4826,5.854,0,145.4339,69.1895,8.0745,2.0671,0.0233,37.5945
239,0,0,13.5398,17.4944,26.4919,26.4919,29.1834,122.7296,-59.52,610.7827,73.8562,35.4445,23.2895,45.2804,-241.9185,7.8216,6.9999,6.2392,0,145.583,69.2949,8.0745,2.069,0.0207,37.4872
239.5,0,0,13.7326,20.8966,29.5276,29.5276,32.0273,120.5251,-59.77,613.837,72.8195,35.0839,23.3723,44.7692,-242.0382,7.8269,7.6626,6.7445,0,145.7821,69.4357,8.0745,2.075,0.0194,37.1355
240,0,0,14.0899,23.9283,31.8717,31.8717,34.4405,117.7673,-59.77,614.514,70.973,34.7007,23.0756,43.8562,-242.0257,7.8315,8.0995,7.1607,0,145.9452,69.5511,8.0741,2.0818,0.0206,36.7376
240.5,1,0,14.4691,23.6126,31.5879,31.5879,34.1438,122.0648,-57.8,611.6785,69.1126,34.3002,22.9108,42.9096,-241.8983,7.838,8.224,7.3583,0,145.9495,69.5541,8.0741,2.0834,0.0221,36.6448
241,0,0,14.7132,23.3021,31.2735,31.2735,33.8149,128.8136,-57.8,609.337,67.9664,33.9305,22.9502,42.2729,-241.6888,7.8483,8.1166,7.3017,1,145.7399,69.4058,8.0742,2.0782,0.0215,36.9468
241.5,0,0,14.8662,26.6412,33.8234,33.8234,36.4207,135.113,-45.99,611.278,67.2667,33.6398,23.0638,41.8028,-241.4316,7.8609,8.1431,7.2255,0,145.4027,69.1674,8.0743,2.0704,0.0189,37.4032
242,0,0,15.0453,33.0629,38.5813,38.5813,40.097,139.5101,-45.99,614.0979,66.4661,33.4398,23.2166,41.2481,-241.1417,7.8762,8.3562,7.3266,0,145.1169,68.9653,8.0746,2.0637,0.0149,37.7928
242.5,0,0,15.2897,35.6035,40.1298,40.1298,41.0833,139.8044,-30.99,617.5543,65.4034,33.3043,23.2322,40.5906,-240.7987,7.8851,8.3532,7.3821,0,145.0269,68.9016,8.0746,2.0581,0.01,38.1236
243,0,0,15.5639,29.6875,36.1187,36.1187,38.4039,135.1115,-30.99,620.0051,64.2514,33.1976,23.2344,39.9914,-240.3484,7.8787,7.7269,7.0094,0,145.1662,69.0002,8.0742,2.0525,0.0054,38.4501
243.5,0,0,15.808,25.209,32.6419,32.6419,35.2394,123.6666,-15.98,616.3254,63.2592,33.0994,23.1232,39.6324,-239.7249,7.8663,6.8218,6.3716,0,145.4859,69.2263,8.0744,2.049,0.0034,38.6521
244,0,0,16.0231,23.9286,31.872,31.872,34.4408,118.4873,-15.98,620.6251,62.4098,33.0061,22.7627,39.4817,-238.892,7.8554,6.3234,6.004,0,145.9188,69.5324,8.0746,2.0511,0.0056,38.5311
244.5,0,1,16.2766,24.7705,32.4016,32.4016,34.9917,127.778,-2.95,636.0942,61.4378,32.9097,22.3855,39.278,-237.8829,7.8449,6.4591,6.0579,0,146.3946,69.8689,8.0744,2.0594,0.0119,38.0448
245,0,0,16.6049,24.6131,32.3142,32.3142,34.9012,140.3659,-2.95,662.6362,60.2232,32.7833,22.1361,38.8033,-236.8113,7.8396,6.9566,6.2836,0,146.8106,70.1631,8.0742,2.0715,0.0202,37.3389
245.5,0,0,16.9773,23.9298,31.8729,31.8729,34.4418,145.3532,-40.21,752.9343,58.9021,32.5877,22.01,38.0162,-235.8407,7.8401,7.2364,6.4024,0,147.0398,70.3252,8.0742,2.0841,0.0277,36.6019
246,0,0,17.3781,25.1182,32.5917,32.5917,35.1878,137.2507,-40.21,825.5532,57.5436,32.2937,22.1354,36.8962,-235.1249,7.8379,7.3034,6.4163,0,147.0126,70.3059,8.0744,2.0952,0.0324,35.9517
246.5,0,0,17.8523,24.7653,32.3988,32.3988,34.9887,127.8825,-40.21,836.7989,56.0151,31.8957,22.5754,35.3497,-234.7559,7.8348,7.5912,6.5983,0,146.7917,70.1497,8.0748,2.1045,0.0335,35.4117
247,0,0,18.3879,21.3079,29.8605,29.8605,32.3593,131.8039,-40.21,821.4604,54.3837,31.4093,22.9283,33.439,-234.7486,7.8357,8.0268,6.9276,0,146.5453,69.9754,8.0747,2.1126,0.0326,34.9334
247.5,0,0,18.9084,18.9086,27.8364,27.8364,30.4074,142.1984,-40.21,813.4401,52.8866,30.8624,23.3148,31.3784,-235.0528,7.8359,8.5562,7.2689,1,146.4223,69.8885,8.0747,2.1206,0.032,34.468
248,0,0,19.3508,19.3072,28.1732,28.1732,30.722,148.733,-40.21,809.015,51.6775,30.2914,24.5248,29.4345,-235.5714,7.8368,9.0608,7.5515,1,146.4368,69.8988,8.0748,2.1274,0.0323,34.0687
248.5,0,0,19.6637,23.2676,31.2396,31.2396,33.7794,150.5708,-39.84,806.4055,50.855,29.7415,25.5214,27.9159,-236.1634,7.8414,9.2457,7.6795,0,146.4632,69.9174,8.0746,2.1302,0.0321,33.9053
249,0,0,19.8462,31.1296,37.1021,37.1021,39.1164,150.2916,-39.84,809.0934,50.3874,29.2613,25.3217,26.9279,-236.6527,7.8437,9.1202,7.6788,0,146.3476,69.8356,8.0746,2.1269,0.0306,34.0965
249.5,0,0,19.9806,39.6716,42.688,42.688,42.7825,144.5005,-39.97,808.8804,50.0485,28.8897,25.4471,26.2551,-236.8631,7.8449,8.6548,7.4617,0,146.0446,69.6214,8.0765,2.1192,0.0289,34.55
250,0,0,20.1412,37.1765,41.1059,41.1059,41.7187,134.7684,-40.09,827.055,49.6494,28.6419,26.0115,25.6956,-236.6799,7.854,8.1526,7.1151,0,145.662,69.3508,8.0834,2.1106,0.0278,35.0533
250.5,0,0,20.3394,28.2741,35.1931,35.1931,37.6645,123.58,-40.21,880.6307,49.1656,28.5018,26.108,25.248,-236.0982,7.8656,8.3709,7.0874,0,145.3716,69.1454,8.0895,2.1032,0.026,35.484
251,0,0,20.5399,23.9354,31.8774,31.8774,34.4465,114.5521,-40.21,880.6959,48.6856,28.4311,25.731,24.9533,-235.2206,7.8714,8.9313,7.2948,0,145.262,69.0679,8.0908,2.0961,0.0222,35.901
251.5,0,0,20.6665,25.3973,32.7482,32.7482,35.3484,114.5174,-40.7,796.7227,48.3874,28.3941,25.3117,24.7981,-234.2065,7.8731,8.9783,7.292,0,145.2697,69.0733,8.091,2.0862,0.0185,36.4798
252,0,0,20.7132,29.4574,35.973,35.973,38.2925,119.5527,-40.7,740.2479,48.2783,28.3877,25.367,24.6286,-233.2112,7.8703,8.3054,6.9277,0,145.2664,69.071,8.0909,2.0728,0.0202,37.2627
252.5,0,0,20.7163,34.3252,39.3483,39.3483,40.5851,118.1449,-40.58,720.5984,48.2711,28.4457,25.9495,24.3767,-232.3505,7.8706,7.1508,6.2962,0,145.1958,69.0211,8.091,2.0616,0.0327,37.9163
253,0,0,20.6401,39.4261,42.5305,42.5305,42.6747,108.763,-40.58,726.2849,48.4495,28.6048,26.3328,24.2661,-231.6945,7.8918,6.245,5.6416,0,145.095,68.9498,8.0906,2.0596,0.0533,38.0322
253.5,0,0,20.536,44.8861,46.1381,46.1381,45.2428,103.4854,-40.33,743.8671,48.6949,28.8451,26.1871,24.3728,-231.2713,7.9159,6.2649,5.4246,0,145.0249,68.9002,8.077,2.066,0.069,37.6584
